symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00010000,-0.173,0.05752757,0.05776000,0.05767000,3.37070000,0.05766000,11.57970000,0.05767000,17.89800000,0.05777000,0.05790000,0.05699000,26225.39120000,1508.68306490,1697116051050,1697202451050,423822882,423867233,44352
LTCBTC,0.00001000,0.438,0.00228701,0.00228200,0.00229300,29.20200000,0.00229200,97.87800000,0.00229400,219.08800000,0.00228300,0.00230600,0.00227100,31886.94400000,72.92575193,1697116051018,1697202451018,93765477,93773307,7831
BNBBTC,0.00000100,0.013,0.00767871,0.00767000,0.00767100,1.60500000,0.00767000,0.22300000,0.00767100,11.53000000,0.00767000,0.00772300,0.00762600,15404.78300000,118.28878911,1697116051011,1697202451011,227715700,227733852,18153
NEOBTC,0.00000400,1.599,0.00025189,0.00025030,0.00025420,3.25000000,0.00025380,1.70000000,0.00025410,26.15000000,0.00025020,0.00025530,0.00024980,6291.16000000,1.58470176,1697116047512,1697202447512,45556078,45556949,872
QTUMETH,0.00002200,1.622,0.00136770,0.00135400,0.00137800,1.60000000,0.00137800,45.80000000,0.00138500,9.00000000,0.00135600,0.00138400,0.00135600,1212.10000000,1.65779370,1697116024482,1697202424482,5403821,5403843,23
EOSETH,0.00000490,1.418,0.00035001,0.00034580,0.00035050,1252.40000000,0.00035010,1275.80000000,0.00035090,728.20000000,0.00034560,0.00035180,0.00034530,10331.70000000,3.61621064,1697116051002,1697202451002,23501978,23502062,85
SNTETH,0.00000032,2.159,0.00001503,0.00001471,0.00001514,67.00000000,0.00001509,4275.00000000,0.00001517,14524.00000000,0.00001482,0.00001531,0.00001476,888461.00000000,13.35489242,1697116040628,1697202440628,3916991,3917110,120
BNTETH,-0.00000310,-0.936,0.00032800,0.00032940,0.00032800,7.70000000,0.00032910,430.70000000,0.00033020,234.70000000,0.00033110,0.00033670,0.00031280,56640.30000000,18.57828373,1697116051068,1697202451068,2246793,2248047,1255
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
GASBTC,0.00000020,0.239,0.00008423,0.00008340,0.00008400,35.00000000,0.00008380,247.00000000,0.00008420,56.00000000,0.00008380,0.00008490,0.00008350,2640.30000000,0.22238333,1697116040941,1697202440941,20852076,20852350,275
BNBETH,0.00030000,0.226,0.13332878,0.13280000,0.13310000,0.07500000,0.13300000,5.32900000,0.13310000,142.09700000,0.13280000,0.13450000,0.13260000,12324.57900000,1643.22109310,1697116049886,1697202449886,56456830,56466671,9842
BTCUSDT,55.74000000,0.208,26764.66574067,26849.55000000,26905.29000000,0.00640000,26905.28000000,0.00033000,26905.29000000,1.93911000,26849.55000000,26966.85000000,26555.00000000,20921.25140000,559950300.59762850,1697116051099,1697202451099,3237138839,3238111557,972719
ETHUSDT,0.51000000,0.033,1539.68295967,1550.92000000,1551.44000000,0.02810000,1551.43000000,0.26340000,1551.44000000,144.66710000,1550.93000000,1554.79000000,1521.00000000,206870.95640000,318515686.41973500,1697116051099,1697202451099,1208871807,1209402027,530221
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
WTCBTC,0.00000017,3.263,0.00000540,0.00000518,0.00000538,60.00000000,0.00000536,4535.00000000,0.00000539,2036.00000000,0.00000521,0.00000585,0.00000502,509461.00000000,2.75007502,1697116051084,1697202451084,20241029,20241925,897
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
LRCBTC,0.00000010,1.634,0.00000620,0.00000612,0.00000622,19.00000000,0.00000623,3389.00000000,0.00000624,5725.00000000,0.00000612,0.00000625,0.00000606,190805.00000000,1.18266969,1697116050979,1697202450979,22126357,22126644,288
LRCETH,0.00000201,1.901,0.00010752,0.00010597,0.00010772,597.00000000,0.00010797,597.00000000,0.00010892,2343.00000000,0.00010571,0.00010905,0.00010571,119611.00000000,12.86044165,1697116022274,1697202422274,4719936,4720002,67
QTUMBTC,0.00000150,1.921,0.00007901,0.00007810,0.00007960,223.40000000,0.00007940,67.00000000,0.00007970,5.90000000,0.00007810,0.00007960,0.00007800,4686.90000000,0.37029506,1697116050974,1697202450974,24088478,24088749,272
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
ZRXBTC,0.00000033,4.641,0.00000752,0.00000709,0.00000744,515.00000000,0.00000744,103.00000000,0.00000745,3599.00000000,0.00000711,0.00000771,0.00000693,1949265.00000000,14.64922187,1697116022049,1697202422049,25427906,25430502,2597
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
KNCBTC,-0.00000014,-0.581,0.00002406,0.00002412,0.00002396,5.10000000,0.00002391,154.60000000,0.00002396,51.00000000,0.00002410,0.00002447,0.00002384,78645.30000000,1.89190289,1697116051090,1697202451090,20281795,20282632,838
KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387911,1689658787911,-1,-1,0
